CityTown;Population;Latitude;Longitude
Chelyabinsk, 40-letiya Pobedy, 30a;67;55.181812;61.301834
Chelyabinsk, 40-letiya Pobedy, 31;225;55.183719;61.302912
Chelyabinsk, 40-letiya Pobedy, 31b;99;55.184613;61.303793
Chelyabinsk, 40-letiya Pobedy, 31v;319;55.184726;61.30647
Chelyabinsk, 40-letiya Pobedy, 33;582;55.182824;61.304062
Chelyabinsk, 40-letiya Pobedy, 33a;353;55.183169;61.306021
Chelyabinsk, 40-letiya Pobedy, 33b;631;55.183323;61.30505
Chelyabinsk, 40-letiya Pobedy, 35;680;55.181961;61.305221
Chelyabinsk, 40-letiya Pobedy, 35a;447;55.182547;61.305787
Chelyabinsk, 40-letiya Pobedy, 36;268;55.179591;61.306811
Chelyabinsk, 40-letiya Pobedy, 36a;235;55.178773;61.305518
Chelyabinsk, 40-letiya Pobedy, 36v;130;55.180136;61.306227
Chelyabinsk, 40-letiya Pobedy, 38;302;55.17864;61.308239
Chelyabinsk, 40-letiya Pobedy, 38a;199;55.178552;61.30682
Chelyabinsk, 40-letiya Pobedy, 38b;220;55.177766;61.305895
Chelyabinsk, 40-letiya Pobedy, 39;128;55.180264;61.307449
Chelyabinsk, 40-letiya Pobedy, 4;186;55.191279;61.284578
Chelyabinsk, 40-letiya Pobedy, 40;159;55.177267;61.31
Chelyabinsk, 40-letiya Pobedy, 40a;107;55.177591;61.307404
Chelyabinsk, 40-letiya Pobedy, 43;286;55.179483;61.309165
Chelyabinsk, 40-letiya Pobedy, 44;2 920;55.175427;61.312417
Chelyabinsk, 40-letiya Pobedy, 47;240;55.178352;61.310045
Chelyabinsk, 40-letiya Pobedy, 47a;68;55.178768;61.31115
Chelyabinsk, 40-letiya Pobedy, 49;90;55.178167;61.31142
Chelyabinsk, 40-letiya Pobedy, 5;483;55.192538;61.286931
Chelyabinsk, 40-letiya Pobedy, 52;1 041;55.174198;61.314016
Chelyabinsk, 40-letiya Pobedy, 53;64;55.176049;61.313405
Chelyabinsk, 40-letiya Pobedy, 57;168;55.175185;61.314546
Chelyabinsk, 40-letiya Pobedy, 6;74;55.191325;61.286653
Chelyabinsk, 40-letiya Pobedy, 61;299;55.174157;61.315938
Chelyabinsk, 40-letiya Pobedy, 7;962;55.192502;61.289078
Chelyabinsk, 40-letiya Pobedy, 8;167;55.191341;61.288728
Chelyabinsk, 40-letiya Pobedy, 9;398;55.192574;61.291145
Chelyabinsk, 40-letiya Pobedy, 9a;386;55.192476;61.292815
Chelyabinsk, 50-letiya VLKSM, 12;49;55.244573;61.385764
Chelyabinsk, 50-letiya VLKSM, 13;53;55.242899;61.386061
